ID,Equipment,Status,Year of svc,aircraft speed,Effective Date,aircraft weight,hourly mileage pay,hourly weight pay,captain pay - day,captain pay - night,captain overseas pay,FO overseas pay,RP overseas pay,MBG overseas hours,MBG nav-aid hours,captain nav-aid pay,FO nav-aid pay,RP nav-aid pay,Hourly base pay,Hourly pay Day,Hourly pay Night,Mileage pay,Weight pay,Reg  HOURLY Rates Day,Reg  HOURLY Rates Night,Reg MINUTE Rates Day,Reg MINUTE Rates Night,DBM70,MBGBlockHolderHours70,MBGReserveHours70,MBGBlockHolderPay70,MBGReservePay70,DBM71,MBGBlockHolderHours71,MBGReserveHours71,MBGBlockHolderPay71,MBGReservePay71,DBM72,MBGBlockHolderHours72,MBGReserveHours72,MBGBlockHolderPay72,MBGReservePay72,DBM73,MBGBlockHolderHours73,MBGReserveHours73,MBGBlockHolderPay73,MBGReservePay73,DBM74,MBGBlockHolderHours74,MBGReserveHours74,MBGBlockHolderPay74,MBGReservePay74,DBM75,MBGBlockHolderHours75,MBGReserveHours75,MBGBlockHolderPay75,MBGReservePay75,DBM76,MBGBlockHolderHours76,MBGReserveHours76,MBGBlockHolderPay76,MBGReservePay76,DBM77,MBGBlockHolderHours77,MBGReserveHours77,MBGBlockHolderPay77,MBGReservePay77,DBM78,MBGBlockHolderHours78,MBGReserveHours78,MBGBlockHolderPay78,MBGReservePay78,DBM79,MBGBlockHolderHours79,MBGReserveHours79,MBGBlockHolderPay79,MBGReservePay79,DBM80,MBGBlockHolderHours80,MBGReserveHours80,MBGBlockHolderPay80,MBGReservePay80,DBM81,MBGBlockHolderHours81,MBGReserveHours81,MBGBlockHolderPay81,MBGReservePay81,DBM82,MBGBlockHolderHours82,MBGReserveHours82,MBGBlockHolderPay82,MBGReservePay82,DBM83,MBGBlockHolderHours83,MBGReserveHours83,MBGBlockHolderPay83,MBGReservePay83,DBM84,MBGBlockHolderHours84,MBGReserveHours84,MBGBlockHolderPay84,MBGReservePay84,DBM85,MBGBlockHolderHours85,MBGReserveHours85,MBGBlockHolderPay85,MBGReservePay85,Under5_FO_RP,EquipmentOrder,Overseas Pay,nav-aid pay,DBM,MBG_Block_Hr,MBG_Res_Hr,MBG_Block_Pay,MBG_Res_Pay
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,70,60,68,18603.71,20961.1
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,71,60,69,18603.71,21255.77
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,72,63,70,19487.73,21550.44
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,73,63,71,19487.73,21845.12
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,74,63,72,19487.73,22139.79
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,75,64,73,19782.41,22434.46
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,76,65,74,20077.08,22729.13
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,77,66,75,20371.75,23023.81
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,78,66,76,20371.75,23318.48
1,B-777,CA,1,0.89,2022-04-02,351.534,61.8497,88.8326,106.096,137.9251,13.0048,7.0928,4.7289,71,0,11.8231,5.911,3.5461,21.98,106.096,137.9251,61.8497,88.8326,278.7583,310.5874,4.64597,5.17646,70,60,68,18603.71,20961.1,71,60,69,18603.71,21255.77,72,63,70,19487.73,21550.44,73,63,71,19487.73,21845.12,74,63,72,19487.73,22139.79,75,64,73,19782.41,22434.46,76,65,74,20077.08,22729.13,77,66,75,20371.75,23023.81,78,66,76,20371.75,23318.48,79,67,77,20666.42,23613.15,80,68,78,20961.1,23907.83,81,69,79,21255.77,24202.5,82,70,80,21550.44,24497.17,83,71,81,21845.12,24791.84,84,72,82,22139.79,25086.52,85,73,83,22434.46,25381.19,,1,13.0048,11.8231,79,67,77,20666.42,23613.15
